영상 이름,선수명,키,몸무게,샅바 시간,경기시간 ,휴식 시간,승리여부,기술 횟수,이동거리,누적 판수
태백_12_1_1_0,손희찬,175,84,99,3,0,0,2,3559.906,1
태백_12_1_1_0,이준호,172,82,99,3,0,1,2,3559.906,1
태백_12_1_2_0,손희찬,175,84,174,11,60,1,7,7353.33,2
태백_12_1_2_0,이준호,172,82,174,11,60,0,7,7353.33,2
태백_12_1_3_0,손희찬,175,84,232,13,120,1,8,13551.639,3
태백_12_1_3_0,이준호,172,82,232,13,120,0,8,13551.639,3
태백_12_2_1_0,정택훈,180,85,83,27,0,0,4,2879.118,1
태백_12_2_1_0,문준석 ,180,80,83,27,0,1,4,2879.118,1
태백_12_2_2_0,정택훈,180,85,175,32,60,0,6,10192.457,2
태백_12_2_2_0,문준석 ,180,80,175,32,60,1,6,10192.457,2
태백_12_3_1_0,이화형,175,80,70,7,0,0,4,3600.926,1
태백_12_3_1_0,안성민,174,83,70,7,0,1,4,3600.926,1
태백_12_3_2_0,이화형,175,80,123,14,60,0,8,6520.543,2
태백_12_3_2_0,안성민,174,83,123,14,60,1,8,6520.543,2
태백_12_4_1_0,박권익,177,80,109,1,0,0,1,8672.467,1
태백_12_4_1_0,전성근,172,80,109,1,0,1,1,8672.467,1
태백_12_4_2_0,박권익,177,80,154,5,60,0,2,11116.303,2
태백_12_4_2_0,전성근,172,80,154,5,60,1,2,11116.303,2
태백_8_1_1_0,오준영,174,83,92,2,0,0,2,3272.319,1
태백_8_1_1_0,허선행,182,80,92,2,0,1,2,3272.319,1
태백_8_1_2_0,오준영,174,83,198,6,60,0,5,8332.777,2
태백_8_1_2_0,허선행,182,80,198,6,60,1,5,8332.777,2
태백_8_2_1_0,손희찬,175,84,382,28,2005,0,13,20748.239,4
태백_8_2_1_0,문준석,180,80,325,47,1494,1,11,17389.057,3
태백_8_2_2_0,손희찬,175,84,466,32,2065,0,16,24312.059,5
태백_8_2_2_0,문준석,180,80,409,51,1554,1,14,20952.877,4
태백_8_3_1_0,안성민,174,83,189,17,1681,0,9,12975.089,3
태백_8_3_1_0,전성근,172,80,220,8,1326,1,3,17570.849,3
태백_8_3_2_0,안성민,174,83,253,23,1741,0,12,18536.822,4
태백_8_3_2_0,전성근,172,80,284,14,1386,1,6,23132.582,4
태백_8_4_1_0,정민궁,177,84,57,27,0,0,8,8051.801,1
태백_8_4_1_0,노범수,181,85,57,27,0,1,8,8051.801,1
태백_8_4_2_0,정민궁,177,84,98,34,60,1,12,11403.416,2
태백_8_4_2_0,노범수,181,85,98,34,60,0,12,11403.416,2
태백_8_4_3_0,정민궁,177,84,142,37,120,0,15,16131.954,3
태백_8_4_3_0,노범수,181,85,142,37,120,1,15,16131.954,3
태백_4_1_1_0,허선행,182,80,227,13,1562,0,7,10457.886,3
태백_4_1_1_0,문준석,180,80,438,58,2555,1,16,23077.986,5
태백_4_1_2_0,허선행,182,80,248,19,1622,0,9,12069.286,4
태백_4_1_2_0,문준석,180,80,459,64,2615,1,18,24689.386,6
태백_4_2_1_0,전성근,172,80,349,36,2317,0,11,32001.069,5
태백_4_2_1_0,노범수,181,85,207,59,575,1,20,25000.441,4
태백_4_2_2_0,전성근,172,80,398,39,2377,1,13,34610.517,6
태백_4_2_2_0,노범수,181,85,256,62,635,0,22,27609.889,5
태백_4_2_3_0,전성근,172,80,436,46,2437,0,15,36755.081,7
태백_4_2_3_0,노범수,181,85,294,69,695,1,24,29754.453,6
태백_2_1_1_0,허선행,182,80,333,23,2448,1,11,16424.836,5
태백_2_1_1_0,전성근,172,80,521,50,2812,0,17,41110.631,8
태백_2_1_2_0,허선행,182,80,373,27,2508,1,13,21078.934,6
태백_2_1_2_0,전성근,172,80,561,54,2872,0,19,45764.729,9
태백_2_2_1_0,문준석,180,80,515,67,3606,0,20,30586.155,6
태백_2_2_1_0,노범수,181,85,350,72,1001,1,26,35651.222,6
태백_2_2_2_0,문준석,180,80,569,69,3666,0,22,33473.851,7
태백_2_2_2_0,노범수,181,85,404,74,1061,1,28,38538.918,7
태백_2_2_3_0,문준석,180,80,626,71,3726,0,23,35776.834,8
태백_2_2_3_0,노범수,181,85,461,76,1121,1,29,40841.901,8